;ESTACION;PRODUCTO;INICIAL;FINAL;PVP;ESTACION;PAGO;TARIFA
3;67;1;01/08/2025;20/08/2025;1,799;SANCTI-SPIRITUS;MENSUAL;TARIFA 36
3;77;1;01/08/2025;20/08/2025;1,799;MURCIA;MENSUAL;TARIFA 36
3;78;1;01/08/2025;20/08/2025;1,799;NORIOIL;MENSUAL;TARIFA 36
3;80;1;01/08/2025;20/08/2025;1,849;SAN VICENTE DEL PALACIO;MENSUAL;TARIFA 36
3;81;1;01/08/2025;20/08/2025;1,861;WATERY ARANDA;MENSUAL;TARIFA 36
3;79;1;01/08/2025;20/08/2025;1,775;BERA ;MENSUAL;TARIFA 36
3;71;1;01/08/2025;20/08/2025;1,828;PUERTO DE BARCELONA;MENSUAL;TARIFA 36
3;86;1;01/08/2025;20/08/2025;1,853;GIRONA-CALSINA;MENSUAL;TARIFA 36
3;89;1;01/08/2025;20/08/2025;1,823;CATARROJA;MENSUAL;TARIFA 36
3;90;1;01/08/2025;20/08/2025;1,823;MANISES - EXOIL;MENSUAL;TARIFA 36
3;93;1;01/08/2025;20/08/2025;1,857;FEGOBLAN PONTEVEDRA;MENSUAL;TARIFA 36
3;94;1;01/08/2025;20/08/2025;1,846;VEGA DE VALCARCE;MENSUAL;TARIFA 36
3;95;1;01/08/2025;20/08/2025;1,856;HOILA TOLEDO;MENSUAL;TARIFA 36
3;97;1;01/08/2025;20/08/2025;1,832;PETREM TRUCKS FIGUERES;MENSUAL;TARIFA 36
45;73;1;01/08/2025;20/08/2025;1,840;TORREJON;MENSUAL;TARIFA 40
45;19;1;01/08/2025;20/08/2025;1,821;ARCOS JALON;MENSUAL;TARIFA 40
45;26;1;01/08/2025;20/08/2025;1,828;ALFAJARIN;MENSUAL;TARIFA 40
45;1;1;01/08/2025;20/08/2025;1,845;TORREMOCHA;MENSUAL;TARIFA 40
45;2;1;01/08/2025;20/08/2025;1,845;MADRID;MENSUAL;TARIFA 40
45;55;1;01/08/2025;20/08/2025;1,853;VALLECAS;MENSUAL;TARIFA 40
45;96;1;01/08/2025;20/08/2025;1,840;ES VALDEMORO;MENSUAL;TARIFA 40
45;9;1;01/08/2025;20/08/2025;1,804;PAMPLONA;MENSUAL;TARIFA 40
45;10;1;01/08/2025;20/08/2025;1,804;PAMPLONA;MENSUAL;TARIFA 40
45;74;1;01/08/2025;20/08/2025;1,840;HUMILLADERO;MENSUAL;TARIFA 40
45;75;1;01/08/2025;20/08/2025;1,840;HUMILLADERO;MENSUAL;TARIFA 40
45;27;1;01/08/2025;20/08/2025;1,845;UCLES;MENSUAL;TARIFA 40
45;72;1;01/08/2025;20/08/2025;1,840;BENAMEJI;MENSUAL;TARIFA 40
45;76;1;01/08/2025;20/08/2025;1,816;SORIA ALCUBILLAS;MENSUAL;TARIFA 40
45;83;1;01/08/2025;20/08/2025;1,828;ES RIBA-ROJA;MENSUAL;TARIFA 40
45;84;1;01/08/2025;20/08/2025;1,828;ES PISTA DE SILLA;MENSUAL;TARIFA 40
45;85;1;01/08/2025;20/08/2025;1,828;ES REAL DE GANDIA;MENSUAL;TARIFA 40
45;87;1;01/08/2025;20/08/2025;1,828;ES CHIVA;MENSUAL;TARIFA 40
45;88;1;01/08/2025;20/08/2025;1,828;ES ALBERIC;MENSUAL;TARIFA 40
